DataType,Model_Name,best_params,best_score
ROS Balanced,LR,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.9904028342872977
ROS Balanced,DT,"'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 50}",0.9950554708638604
ROS Balanced,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 50, 'min_samples_split': 50, 'n_estimators': 200}",0.996452703066905
ROS Balanced,XGB,"{'learning_rate': 0.2, 'n_estimators': 200, 'subsample': 0.6}",0.9999956738639876
