DataType,Model_Name,best_params,best_score
SMOTE Balanced,LR,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9924774784882595
SMOTE Balanced,DT,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 50}",0.9917508683843164
SMOTE Balanced,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'min_samples_split': 100, 'n_estimators': 100}",0.9942269703258863
SMOTE Balanced,XGB,"{'learning_rate': 0.2, 'n_estimators': 200, 'subsample': 0.6}",0.9999953219865372
